朝代,起始年,結束年,典籍數
東漢,25,220,80
曹魏,220,265,6
吳,229,280,61
西晉,265,316,140
晉,265,420,2
東晉,317,420,53
前涼,301,387,1
前秦/符秦,351,394,11
後秦/姚秦,384,417,69
西秦/乞伏秦,385,431,11
北涼,397,460,17
南北朝,439,589,1
劉宋,420,479,97
元魏/北魏/後魏,386,534,51
東魏,534,550,26
蕭齊/南齊,479,502,6
梁/蕭梁,502,557,33
北齊/高齊,550,577,5
北周/宇文周,557,581,6
陳,557,589,36
隋,581,618,138
唐,618,907,892
後唐,923,936,1
後晉/石晉,936,947,1
南唐,937,975,1
南漢,917,971,1
遼,907,1125,6
宋,960,1279,657
北宋,960,1127,1
南宋,1127,1279,1
夏/西夏,1032,1227,1
元,1271,1368,64
明,1368,1644,416
清,1644,1911,506
新羅,-56,936,32
高麗,918,1392,12
民國,1912,9999,3
