典籍編號,典籍名稱,卷數,作譯者,type
L1490,妙法蓮華經玄義釋籤,40,隋 智顗說、灌頂記　唐 湛然釋,text
L1557,大方廣佛華嚴經疏鈔會本,83,唐 實叉難陀譯　唐 澄觀述,text
L1571,觀自在菩薩如意輪咒課法,1,宋 仁岳撰,text
L1600,大乘起信論疏,4,唐 法藏述,text
L1608,大藏聖教法寶標目,10,宋 王古撰,text
L1629,大乘百法明門論註,1,唐 玄奘譯　增修慈恩法師解,text
L1635,性相通說（選錄序文）,1,明 德清述,text
L1636,莊子內篇註,4,明 德清註,text
L1637,幻有傳禪師語錄,10,明 正傳說 圓悟．圓修等編,text
L1638,雪嶠信禪師語錄,10,明 圓信說 弘歇等編,text
L1639,天隱修禪師語錄,20,明 圓修說 通琇編,text
L1640,密雲悟禪師語錄,10,明 圓悟說 道忞上進,text
L1641,大覺普濟能仁琇國師語錄,7,清 通琇說 行岳編,text
L1642,明道正覺森禪師語錄,3,清 行森說 超德等編,text
L1643,弘覺忞禪師語錄,20,清 道忞撰述 顯權等編,text
L1649,山茨際禪師語錄,4,清 通際撰述 達尊．達謙等編次,text
L1651,五百羅漢尊號,1,明 高道素手錄,text
L1652,明覺聰禪師語錄,20,清 性聰撰述 寂空．方醒等編次,text
L1666,重訂教乘法數（選錄序文）,1,清 超海等重訂,text
L1668,御錄宗鏡大綱,20,清 胤禛錄,text
L1669,御錄經海一滴,20,清 胤禛錄,text
